Epoch 047: train clf loss -00.6842,train adv loss 000.8185,val clf loss 008.3305,val_auroc_adv 000.4503,val_auroc_clf 000.3417
Epoch 048: train clf loss -00.6007,train adv loss 000.6352,val clf loss 008.2147,val_auroc_adv 000.4278,val_auroc_clf 000.3342
Epoch 049: train clf loss -00.5685,train adv loss 000.6069,val clf loss 008.2524,val_auroc_adv 000.5105,val_auroc_clf 000.3367
Epoch 050: train clf loss -00.4534,train adv loss 000.5054,val clf loss 008.3628,val_auroc_adv 000.4375,val_auroc_clf 000.3467
Epoch 051: train clf loss -00.6314,train adv loss 000.7259,val clf loss 008.2503,val_auroc_adv 000.5324,val_auroc_clf 000.3241
Epoch 052: train clf loss -00.6227,train adv loss 000.7098,val clf loss 008.3268,val_auroc_adv 000.5771,val_auroc_clf 000.3191
Epoch 053: train clf loss -00.6141,train adv loss 000.6599,val clf loss 008.2828,val_auroc_adv 000.5420,val_auroc_clf 000.3191
Epoch 054: train clf loss -00.4573,train adv loss 000.5159,val clf loss 008.3586,val_auroc_adv 000.5633,val_auroc_clf 000.3141
Epoch 055: train clf loss -00.6342,train adv loss 000.6593,val clf loss 008.6432,val_auroc_adv 000.5909,val_auroc_clf 000.3166
Epoch 056: train clf loss -00.7194,train adv loss 000.8166,val clf loss 008.6174,val_auroc_adv 000.4250,val_auroc_clf 000.3317
Epoch 057: train clf loss -00.6531,train adv loss 000.7704,val clf loss 008.6548,val_auroc_adv 000.5614,val_auroc_clf 000.3266
Epoch 058: train clf loss -00.5270,train adv loss 000.6085,val clf loss 008.6327,val_auroc_adv 000.5197,val_auroc_clf 000.3090
Epoch 059: train clf loss -00.5025,train adv loss 000.5752,val clf loss 008.6798,val_auroc_adv 000.4956,val_auroc_clf 000.2940
Epoch 060: train clf loss -00.5595,train adv loss 000.6090,val clf loss 008.7020,val_auroc_adv 000.4787,val_auroc_clf 000.2889
Epoch 061: train clf loss -00.6371,train adv loss 000.6950,val clf loss 008.6879,val_auroc_adv 000.5315,val_auroc_clf 000.2915
Epoch 062: train clf loss -00.5707,train adv loss 000.6606,val clf loss 008.5922,val_auroc_adv 000.4267,val_auroc_clf 000.2764
Epoch 063: train clf loss -00.5588,train adv loss 000.5998,val clf loss 008.5257,val_auroc_adv 000.5432,val_auroc_clf 000.2764
Epoch 064: train clf loss -00.6229,train adv loss 000.6935,val clf loss 008.5958,val_auroc_adv 000.4873,val_auroc_clf 000.2864
Epoch 065: train clf loss -00.5502,train adv loss 000.6630,val clf loss 008.5992,val_auroc_adv 000.4486,val_auroc_clf 000.2864
Epoch 066: train clf loss -00.5834,train adv loss 000.6580,val clf loss 008.7046,val_auroc_adv 000.5093,val_auroc_clf 000.2864
Epoch 067: train clf loss -00.5682,train adv loss 000.7215,val clf loss 008.5121,val_auroc_adv 000.4781,val_auroc_clf 000.2814
Epoch 068: train clf loss -00.4298,train adv loss 000.5064,val clf loss 008.4142,val_auroc_adv 000.4470,val_auroc_clf 000.2588
Epoch 069: train clf loss -00.7478,train adv loss 000.7853,val clf loss 008.4469,val_auroc_adv 000.4673,val_auroc_clf 000.2588
Epoch 070: train clf loss -00.5959,train adv loss 000.6670,val clf loss 008.3632,val_auroc_adv 000.4340,val_auroc_clf 000.2538
Epoch 071: train clf loss -00.3752,train adv loss 000.4897,val clf loss 008.2790,val_auroc_adv 000.5522,val_auroc_clf 000.2412
Epoch 072: train clf loss -00.5573,train adv loss 000.5898,val clf loss 008.3089,val_auroc_adv 000.4687,val_auroc_clf 000.2286
Epoch 073: train clf loss -00.6588,train adv loss 000.7477,val clf loss 008.2167,val_auroc_adv 000.4213,val_auroc_clf 000.2161
Epoch 074: train clf loss -00.6487,train adv loss 000.7150,val clf loss 008.2999,val_auroc_adv 000.4350,val_auroc_clf 000.2111
Epoch 075: train clf loss -00.5909,train adv loss 000.6544,val clf loss 008.3320,val_auroc_adv 000.5023,val_auroc_clf 000.2060
Epoch 076: train clf loss -00.5005,train adv loss 000.5605,val clf loss 008.2088,val_auroc_adv 000.5882,val_auroc_clf 000.1935
Epoch 077: train clf loss -00.5364,train adv loss 000.6623,val clf loss 008.1549,val_auroc_adv 000.5956,val_auroc_clf 000.1910
Epoch 078: train clf loss -00.5769,train adv loss 000.7017,val clf loss 008.0495,val_auroc_adv 000.5688,val_auroc_clf 000.1834
Epoch 079: train clf loss -00.4719,train adv loss 000.6411,val clf loss 007.8973,val_auroc_adv 000.5582,val_auroc_clf 000.1809
Epoch 080: train clf loss -00.5636,train adv loss 000.6020,val clf loss 008.0271,val_auroc_adv 000.4606,val_auroc_clf 000.1910
Epoch 081: train clf loss -00.4313,train adv loss 000.4844,val clf loss 008.1713,val_auroc_adv 000.4852,val_auroc_clf 000.1910
Epoch 082: train clf loss -00.6947,train adv loss 000.7858,val clf loss 008.1515,val_auroc_adv 000.5096,val_auroc_clf 000.1910
Epoch 083: train clf loss -00.6586,train adv loss 000.7284,val clf loss 008.3362,val_auroc_adv 000.5445,val_auroc_clf 000.1834
Epoch 084: train clf loss -00.8552,train adv loss 000.8648,val clf loss 008.4587,val_auroc_adv 000.5709,val_auroc_clf 000.1960
Epoch 085: train clf loss -00.3779,train adv loss 000.4573,val clf loss 008.4912,val_auroc_adv 000.4787,val_auroc_clf 000.2035
Epoch 086: train clf loss -00.6234,train adv loss 000.7142,val clf loss 008.3840,val_auroc_adv 000.4399,val_auroc_clf 000.2261
Epoch 087: train clf loss -00.5796,train adv loss 000.5978,val clf loss 008.5086,val_auroc_adv 000.4541,val_auroc_clf 000.2286
Epoch 088: train clf loss -00.6272,train adv loss 000.6628,val clf loss 008.5443,val_auroc_adv 000.4512,val_auroc_clf 000.2362
Epoch 089: train clf loss -00.7170,train adv loss 000.7881,val clf loss 008.7161,val_auroc_adv 000.4430,val_auroc_clf 000.2312
Epoch 090: train clf loss -00.8033,train adv loss 000.8398,val clf loss 008.6967,val_auroc_adv 000.4914,val_auroc_clf 000.2462
Epoch 091: train clf loss -00.5442,train adv loss 000.6978,val clf loss 008.6719,val_auroc_adv 000.4776,val_auroc_clf 000.2462
Epoch 092: train clf loss -00.5543,train adv loss 000.6827,val clf loss 008.6945,val_auroc_adv 000.4946,val_auroc_clf 000.2211
Epoch 093: train clf loss -00.7672,train adv loss 000.7842,val clf loss 008.7430,val_auroc_adv 000.4607,val_auroc_clf 000.2136
Epoch 094: train clf loss -00.6363,train adv loss 000.7369,val clf loss 008.6496,val_auroc_adv 000.4115,val_auroc_clf 000.1985
Epoch 095: train clf loss -00.5307,train adv loss 000.5939,val clf loss 008.6709,val_auroc_adv 000.5003,val_auroc_clf 000.2010
Epoch 096: train clf loss -00.5451,train adv loss 000.5793,val clf loss 008.5610,val_auroc_adv 000.4069,val_auroc_clf 000.2060
Epoch 097: train clf loss -00.6810,train adv loss 000.7276,val clf loss 008.5915,val_auroc_adv 000.5104,val_auroc_clf 000.2010
Epoch 098: train clf loss -00.6978,train adv loss 000.7720,val clf loss 008.4597,val_auroc_adv 000.5108,val_auroc_clf 000.2035
Epoch 099: train clf loss -00.6194,train adv loss 000.6490,val clf loss 008.4648,val_auroc_adv 000.4314,val_auroc_clf 000.2035
Epoch 100: train clf loss -00.4608,train adv loss 000.5375,val clf loss 008.4406,val_auroc_adv 000.3965,val_auroc_clf 000.1960
Epoch 101: train clf loss -00.5183,train adv loss 000.5547,val clf loss 008.6916,val_auroc_adv 000.5954,val_auroc_clf 000.1884
Epoch 102: train clf loss -00.6779,train adv loss 000.7324,val clf loss 008.7578,val_auroc_adv 000.4293,val_auroc_clf 000.1784
Epoch 103: train clf loss -00.6884,train adv loss 000.7800,val clf loss 008.5674,val_auroc_adv 000.5493,val_auroc_clf 000.1809
Epoch 104: train clf loss -00.7043,train adv loss 000.7825,val clf loss 008.4597,val_auroc_adv 000.6197,val_auroc_clf 000.1910
Epoch 105: train clf loss -00.5209,train adv loss 000.5700,val clf loss 008.5364,val_auroc_adv 000.6223,val_auroc_clf 000.1884
Epoch 106: train clf loss -00.6396,train adv loss 000.6592,val clf loss 008.6875,val_auroc_adv 000.6083,val_auroc_clf 000.1884
Epoch 107: train clf loss -00.4834,train adv loss 000.5464,val clf loss 008.8210,val_auroc_adv 000.3845,val_auroc_clf 000.1834
Epoch 108: train clf loss -00.6201,train adv loss 000.6510,val clf loss 008.8518,val_auroc_adv 000.5424,val_auroc_clf 000.1884
Epoch 109: train clf loss -00.8219,train adv loss 000.8904,val clf loss 008.9266,val_auroc_adv 000.5491,val_auroc_clf 000.1834
Epoch 110: train clf loss -00.6762,train adv loss 000.7195,val clf loss 009.0418,val_auroc_adv 000.5552,val_auroc_clf 000.1834
Epoch 111: train clf loss -00.6390,train adv loss 000.6940,val clf loss 009.1142,val_auroc_adv 000.6230,val_auroc_clf 000.1859
Epoch 112: train clf loss -00.5689,train adv loss 000.6094,val clf loss 009.1477,val_auroc_adv 000.6071,val_auroc_clf 000.1784
Epoch 113: train clf loss -00.6869,train adv loss 000.7511,val clf loss 009.1255,val_auroc_adv 000.6089,val_auroc_clf 000.1734
Epoch 114: train clf loss -00.5061,train adv loss 000.5319,val clf loss 009.1387,val_auroc_adv 000.5585,val_auroc_clf 000.1759
Epoch 115: train clf loss -00.5178,train adv loss 000.5822,val clf loss 009.1174,val_auroc_adv 000.4456,val_auroc_clf 000.1910
Epoch 116: train clf loss -00.4808,train adv loss 000.6055,val clf loss 008.9506,val_auroc_adv 000.5415,val_auroc_clf 000.1809
Epoch 117: train clf loss -00.5510,train adv loss 000.5940,val clf loss 008.9059,val_auroc_adv 000.4349,val_auroc_clf 000.2035
Epoch 118: train clf loss -00.6393,train adv loss 000.6494,val clf loss 009.0790,val_auroc_adv 000.5666,val_auroc_clf 000.2010
Epoch 119: train clf loss -00.5366,train adv loss 000.5927,val clf loss 009.1505,val_auroc_adv 000.4596,val_auroc_clf 000.2111
Epoch 120: train clf loss -00.6878,train adv loss 000.7298,val clf loss 009.1752,val_auroc_adv 000.5152,val_auroc_clf 000.2085
Epoch 121: train clf loss -00.5911,train adv loss 000.6743,val clf loss 009.1402,val_auroc_adv 000.4225,val_auroc_clf 000.1985
Epoch 122: train clf loss -00.6074,train adv loss 000.6580,val clf loss 009.2369,val_auroc_adv 000.4511,val_auroc_clf 000.1834
Epoch 123: train clf loss -00.5749,train adv loss 000.6587,val clf loss 009.2452,val_auroc_adv 000.4656,val_auroc_clf 000.2010
Epoch 124: train clf loss -00.7204,train adv loss 000.7703,val clf loss 009.3003,val_auroc_adv 000.4442,val_auroc_clf 000.2010
Epoch 125: train clf loss -00.4813,train adv loss 000.5342,val clf loss 009.1494,val_auroc_adv 000.5370,val_auroc_clf 000.2035
Epoch 126: train clf loss -00.8401,train adv loss 000.9080,val clf loss 009.0565,val_auroc_adv 000.5645,val_auroc_clf 000.1910
Epoch 127: train clf loss -00.5023,train adv loss 000.6001,val clf loss 008.9415,val_auroc_adv 000.6371,val_auroc_clf 000.1884
Epoch 128: train clf loss -00.4098,train adv loss 000.4597,val clf loss 008.9760,val_auroc_adv 000.6409,val_auroc_clf 000.1884
Epoch 129: train clf loss -00.5386,train adv loss 000.5815,val clf loss 009.0596,val_auroc_adv 000.5979,val_auroc_clf 000.2085
Epoch 130: train clf loss -00.4850,train adv loss 000.5284,val clf loss 009.0378,val_auroc_adv 000.6078,val_auroc_clf 000.1985
Epoch 131: train clf loss -00.4268,train adv loss 000.5208,val clf loss 008.7695,val_auroc_adv 000.6348,val_auroc_clf 000.1985
Epoch 132: train clf loss -00.5533,train adv loss 000.5873,val clf loss 008.8751,val_auroc_adv 000.5332,val_auroc_clf 000.1960
Epoch 133: train clf loss -00.7511,train adv loss 000.8013,val clf loss 008.8494,val_auroc_adv 000.5285,val_auroc_clf 000.2035
Epoch 134: train clf loss -00.5623,train adv loss 000.5768,val clf loss 008.8684,val_auroc_adv 000.5259,val_auroc_clf 000.1985
Epoch 135: train clf loss -00.5095,train adv loss 000.5305,val clf loss 008.8513,val_auroc_adv 000.5575,val_auroc_clf 000.1935
Epoch 136: train clf loss -00.6069,train adv loss 000.7091,val clf loss 008.9079,val_auroc_adv 000.3774,val_auroc_clf 000.1910
Epoch 137: train clf loss -00.6765,train adv loss 000.7169,val clf loss 009.0200,val_auroc_adv 000.4282,val_auroc_clf 000.1784
Epoch 138: train clf loss -00.5435,train adv loss 000.5929,val clf loss 009.1970,val_auroc_adv 000.4005,val_auroc_clf 000.1759
Epoch 139: train clf loss -00.6523,train adv loss 000.7313,val clf loss 009.1153,val_auroc_adv 000.4491,val_auroc_clf 000.1683
Epoch 140: train clf loss -00.5221,train adv loss 000.6085,val clf loss 008.8778,val_auroc_adv 000.4083,val_auroc_clf 000.1759
Epoch 141: train clf loss -00.5218,train adv loss 000.5928,val clf loss 008.8756,val_auroc_adv 000.5104,val_auroc_clf 000.1734
Epoch 142: train clf loss -00.6267,train adv loss 000.6616,val clf loss 008.9820,val_auroc_adv 000.4495,val_auroc_clf 000.1809
Epoch 143: train clf loss -00.6503,train adv loss 000.7605,val clf loss 008.8549,val_auroc_adv 000.4933,val_auroc_clf 000.1935
Epoch 144: train clf loss -00.4878,train adv loss 000.6060,val clf loss 008.6126,val_auroc_adv 000.3650,val_auroc_clf 000.2010
Epoch 145: train clf loss -00.4496,train adv loss 000.5480,val clf loss 008.5235,val_auroc_adv 000.6087,val_auroc_clf 000.1960
Epoch 146: train clf loss -00.4610,train adv loss 000.5272,val clf loss 008.4499,val_auroc_adv 000.5357,val_auroc_clf 000.1935
Epoch 147: train clf loss -00.5541,train adv loss 000.6516,val clf loss 008.3698,val_auroc_adv 000.3691,val_auroc_clf 000.1985
Epoch 148: train clf loss -00.5810,train adv loss 000.6538,val clf loss 008.3557,val_auroc_adv 000.6171,val_auroc_clf 000.2085
Epoch 149: train clf loss -00.4578,train adv loss 000.5948,val clf loss 008.2513,val_auroc_adv 000.4922,val_auroc_clf 000.1910
Epoch 150: train clf loss -00.4425,train adv loss 000.5361,val clf loss 008.1991,val_auroc_adv 000.4407,val_auroc_clf 000.1834
Epoch 151: train clf loss -00.4504,train adv loss 000.4756,val clf loss 008.2742,val_auroc_adv 000.5285,val_auroc_clf 000.1734
Epoch 152: train clf loss -00.6028,train adv loss 000.6752,val clf loss 008.3956,val_auroc_adv 000.5420,val_auroc_clf 000.1633
Epoch 153: train clf loss -00.4768,train adv loss 000.5352,val clf loss 008.4016,val_auroc_adv 000.5211,val_auroc_clf 000.1658
Epoch 154: train clf loss -00.3474,train adv loss 000.4825,val clf loss 008.3074,val_auroc_adv 000.3909,val_auroc_clf 000.1709
Epoch 155: train clf loss -00.6210,train adv loss 000.6496,val clf loss 008.4664,val_auroc_adv 000.4841,val_auroc_clf 000.1683
Epoch 156: train clf loss -00.5294,train adv loss 000.5953,val clf loss 008.5558,val_auroc_adv 000.5467,val_auroc_clf 000.1583
Epoch 157: train clf loss -00.3678,train adv loss 000.4656,val clf loss 008.5285,val_auroc_adv 000.4468,val_auroc_clf 000.1583
Epoch 158: train clf loss -00.6556,train adv loss 000.7295,val clf loss 008.5651,val_auroc_adv 000.4265,val_auroc_clf 000.1558
Epoch 159: train clf loss -00.5020,train adv loss 000.6449,val clf loss 008.4426,val_auroc_adv 000.4609,val_auroc_clf 000.1583
Epoch 160: train clf loss -00.6862,train adv loss 000.7196,val clf loss 008.4574,val_auroc_adv 000.4491,val_auroc_clf 000.1558
Epoch 161: train clf loss -00.7682,train adv loss 000.8569,val clf loss 008.5109,val_auroc_adv 000.3855,val_auroc_clf 000.1558
Epoch 162: train clf loss -00.5968,train adv loss 000.6494,val clf loss 008.6768,val_auroc_adv 000.5818,val_auroc_clf 000.1533
Epoch 163: train clf loss -00.7749,train adv loss 000.8044,val clf loss 008.6847,val_auroc_adv 000.5322,val_auroc_clf 000.1508
Epoch 164: train clf loss -00.5018,train adv loss 000.5385,val clf loss 008.8600,val_auroc_adv 000.5318,val_auroc_clf 000.1407
Epoch 165: train clf loss -00.5868,train adv loss 000.6512,val clf loss 008.7535,val_auroc_adv 000.4987,val_auroc_clf 000.1508
Epoch 166: train clf loss -00.4363,train adv loss 000.4835,val clf loss 008.8325,val_auroc_adv 000.6131,val_auroc_clf 000.1533
Epoch 167: train clf loss -00.5140,train adv loss 000.6001,val clf loss 008.7311,val_auroc_adv 000.5728,val_auroc_clf 000.1558
Epoch 168: train clf loss -00.5697,train adv loss 000.6636,val clf loss 008.5756,val_auroc_adv 000.5232,val_auroc_clf 000.1633
Epoch 169: train clf loss -00.5515,train adv loss 000.6502,val clf loss 008.5005,val_auroc_adv 000.5870,val_auroc_clf 000.1533
Epoch 170: train clf loss -00.5643,train adv loss 000.6015,val clf loss 008.6622,val_auroc_adv 000.5872,val_auroc_clf 000.1533
Epoch 171: train clf loss -00.6391,train adv loss 000.7263,val clf loss 008.5579,val_auroc_adv 000.5400,val_auroc_clf 000.1834
Epoch 172: train clf loss -00.4293,train adv loss 000.4723,val clf loss 008.6076,val_auroc_adv 000.4605,val_auroc_clf 000.1859
Epoch 173: train clf loss -00.6422,train adv loss 000.7166,val clf loss 008.5986,val_auroc_adv 000.5138,val_auroc_clf 000.1859
Epoch 174: train clf loss -00.7309,train adv loss 000.7668,val clf loss 008.6203,val_auroc_adv 000.4791,val_auroc_clf 000.1834
Epoch 175: train clf loss -00.7102,train adv loss 000.7818,val clf loss 008.5297,val_auroc_adv 000.5130,val_auroc_clf 000.1859
Epoch 176: train clf loss -00.6032,train adv loss 000.7119,val clf loss 008.4805,val_auroc_adv 000.5319,val_auroc_clf 000.1683
Epoch 177: train clf loss -00.6142,train adv loss 000.6753,val clf loss 008.4776,val_auroc_adv 000.4666,val_auroc_clf 000.1859
Epoch 178: train clf loss -00.5926,train adv loss 000.6384,val clf loss 008.6148,val_auroc_adv 000.4751,val_auroc_clf 000.1884
Epoch 179: train clf loss -00.4649,train adv loss 000.5818,val clf loss 008.4427,val_auroc_adv 000.4046,val_auroc_clf 000.2010
Epoch 180: train clf loss -00.5131,train adv loss 000.6001,val clf loss 008.5206,val_auroc_adv 000.3753,val_auroc_clf 000.2060
Epoch 181: train clf loss -00.6069,train adv loss 000.6490,val clf loss 008.5886,val_auroc_adv 000.4764,val_auroc_clf 000.2010
Epoch 182: train clf loss -00.5113,train adv loss 000.5966,val clf loss 008.5917,val_auroc_adv 000.5224,val_auroc_clf 000.2060
Epoch 183: train clf loss -00.5588,train adv loss 000.6572,val clf loss 008.5498,val_auroc_adv 000.5049,val_auroc_clf 000.2060
Epoch 184: train clf loss -00.7576,train adv loss 000.7892,val clf loss 008.6124,val_auroc_adv 000.4199,val_auroc_clf 000.2035
Epoch 185: train clf loss -00.5649,train adv loss 000.6001,val clf loss 008.7097,val_auroc_adv 000.4502,val_auroc_clf 000.1960
Epoch 186: train clf loss -00.5452,train adv loss 000.5891,val clf loss 008.7012,val_auroc_adv 000.5485,val_auroc_clf 000.1910
Epoch 187: train clf loss -00.6953,train adv loss 000.7135,val clf loss 008.8289,val_auroc_adv 000.4937,val_auroc_clf 000.1960
Epoch 188: train clf loss -00.6079,train adv loss 000.6519,val clf loss 008.8334,val_auroc_adv 000.5363,val_auroc_clf 000.2060
Epoch 189: train clf loss -00.6366,train adv loss 000.7157,val clf loss 008.9197,val_auroc_adv 000.5645,val_auroc_clf 000.2261
Epoch 190: train clf loss -00.7005,train adv loss 000.7310,val clf loss 008.9336,val_auroc_adv 000.6205,val_auroc_clf 000.2236
Epoch 191: train clf loss -00.4537,train adv loss 000.5378,val clf loss 008.9431,val_auroc_adv 000.5849,val_auroc_clf 000.2286
Epoch 192: train clf loss -00.6226,train adv loss 000.6585,val clf loss 009.1446,val_auroc_adv 000.5637,val_auroc_clf 000.2186
Epoch 193: train clf loss -00.4821,train adv loss 000.6032,val clf loss 008.9602,val_auroc_adv 000.5537,val_auroc_clf 000.2362
Epoch 194: train clf loss -00.6351,train adv loss 000.6754,val clf loss 008.8937,val_auroc_adv 000.5351,val_auroc_clf 000.2462
Epoch 195: train clf loss -00.7530,train adv loss 000.7823,val clf loss 009.0625,val_auroc_adv 000.5377,val_auroc_clf 000.2437
Epoch 196: train clf loss -00.4930,train adv loss 000.5864,val clf loss 008.9740,val_auroc_adv 000.4445,val_auroc_clf 000.2362
Epoch 197: train clf loss -00.6630,train adv loss 000.7171,val clf loss 008.9765,val_auroc_adv 000.4539,val_auroc_clf 000.2211
Epoch 198: train clf loss -00.5625,train adv loss 000.5948,val clf loss 009.0594,val_auroc_adv 000.3462,val_auroc_clf 000.2161
Epoch 199: train clf loss -00.6285,train adv loss 000.7259,val clf loss 008.9693,val_auroc_adv 000.4605,val_auroc_clf 000.2236
Epoch 200: train clf loss -00.5846,train adv loss 000.7063,val clf loss 008.7587,val_auroc_adv 000.4222,val_auroc_clf 000.2211
Epoch 201: train clf loss -00.6145,train adv loss 000.6516,val clf loss 008.8088,val_auroc_adv 000.4151,val_auroc_clf 000.2111
Epoch 202: train clf loss -00.6058,train adv loss 000.6468,val clf loss 008.7814,val_auroc_adv 000.4436,val_auroc_clf 000.2211
Epoch 203: train clf loss -00.6467,train adv loss 000.7197,val clf loss 008.7788,val_auroc_adv 000.4327,val_auroc_clf 000.2236
Epoch 204: train clf loss -00.6264,train adv loss 000.7171,val clf loss 008.8500,val_auroc_adv 000.5050,val_auroc_clf 000.2236
